Dept,Course,Description,Section,Comp,Del,StartMonth,StartDay,EndMonth,EndDay,ClassDayOfWeek,ClassHour,ClassDuration,Room,ProfFirstName,ProfLastName,Semester
0,ORIE0100,New Student Orientation,1,1,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,2,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,3,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,4,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,5,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,6,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,7,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,8,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,9,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,10,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,11,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,12,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,13,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,14,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,15,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,16,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,17,1,9,6,9,7,0,0.0,0.0,,,,fall
0,ORIE0100,New Student Orientation,1,18,1,9,6,9,7,0,0.0,0.0,,,,fall
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,9,8,12,22,Monday,14.5,1.5,EB2136,Jason,Tang,fall
ACFN,ACCT2121,Financial Accounting Concepts,1,1,2,9,8,12,22,Wednesday,14.5,1.5,EB2136,Jason,Tang,fall
ACFN,ACCT2121,Financial Accounting Concepts,1,501,1,9,8,12,22,Wednesday,17.0,1.0,EB2128,,ACCT 2121 - Lab 1,fall
