Dept,Course,Description,Section,Comp,Del,StartMonth,StartDay,EndMonth,EndDay,ClassDayOfWeek,ClassHour,ClassDuration,Room,ProfFirstName,ProfLastName,Semester
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,1,4,4,20,Monday,8.5,1.5,EB3130,Jason,Tang,winter
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,1,4,4,20,Wednesday,8.5,1.5,EB3130,Jason,Tang,winter
ACFN,ACCT2121,Financial Accounting Concepts,1,501,1,1,4,4,20,Wednesday,17.0,1.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,10,10,1,1,4,4,20,Tuesday,13.0,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,10,10,1,1,4,4,20,Thursday,13.0,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,10,510,1,1,4,4,20,Thursday,17.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,11,11,1,1,4,4,20,Tuesday,14.5,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,11,11,1,1,4,4,20,Thursday,14.5,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,11,511,1,1,4,4,20,Thursday,18.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,12,12,1,1,4,4,20,Tuesday,16.0,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,12,12,1,1,4,4,20,Thursday,16.0,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,12,512,1,1,4,4,20,Thursday,19.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,13,13,1,1,4,4,20,Tuesday,18.0,3.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,13,513,1,1,4,4,20,Wednesday,20.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,2,2,1,1,4,4,20,Monday,10.0,1.5,EB3130,Jason,Tang,winter
ACFN,ACCT2121,Financial Accounting Concepts,2,2,1,1,4,4,20,Wednesday,10.0,1.5,EB3130,Jason,Tang,winter
ACFN,ACCT2121,Financial Accounting Concepts,2,502,1,1,4,4,20,Wednesday,18.0,1.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,3,3,1,1,4,4,20,Monday,13.0,1.5,EB3120,Simon,Magennis,winter
ACFN,ACCT2121,Financial Accounting Concepts,3,3,1,1,4,4,20,Wednesday,13.0,1.5,EB3120,Simon,Magennis,winter
ACFN,ACCT2121,Financial Accounting Concepts,3,503,1,1,4,4,20,Wednesday,19.0,1.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,4,4,1,1,4,4,20,Monday,14.5,1.5,EB3120,Simon,Magennis,winter
ACFN,ACCT2121,Financial Accounting Concepts,4,4,1,1,4,4,20,Wednesday,14.5,1.5,EB3120,Simon,Magennis,winter
ACFN,ACCT2121,Financial Accounting Concepts,4,504,1,1,4,4,20,Wednesday,17.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,5,5,1,1,4,4,20,Monday,11.5,1.5,EB2128,Clifford,Spyker,winter
ACFN,ACCT2121,Financial Accounting Concepts,5,5,1,1,4,4,20,Wednesday,11.5,1.5,EB2128,Clifford,Spyker,winter
ACFN,ACCT2121,Financial Accounting Concepts,5,505,1,1,4,4,20,Wednesday,18.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,6,6,1,1,4,4,20,Wednesday,18.0,3.0,EB3108,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,6,506,1,1,4,4,20,Wednesday,19.0,1.0,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,7,7,1,1,4,4,20,Tuesday,8.5,1.5,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,7,7,1,1,4,4,20,Thursday,8.5,1.5,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,7,507,1,1,4,4,20,Thursday,17.0,1.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,8,8,1,1,4,4,20,Tuesday,10.0,1.5,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,8,8,1,1,4,4,20,Thursday,10.0,1.5,EB2128,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,8,508,1,1,4,4,20,Thursday,18.0,1.0,EB2136,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,9,9,1,1,4,4,20,Tuesday,11.5,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,9,9,1,1,4,4,20,Thursday,11.5,1.5,EB3120,,,winter
ACFN,ACCT2121,Financial Accounting Concepts,9,509,1,1,4,4,20,Thursday,19.0,1.0,EB2136,,,winter
ACFN,ACCT3220,Financial Accounting Practices,1,1,1,1,4,4,20,Tuesday,8.5,2.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,1,1,2,1,4,4,20,Thursday,8.5,1.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,1,401,1,1,4,4,20,Thursday,9.5,1.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,2,2,1,1,4,4,20,Tuesday,10.5,2.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,2,2,2,1,4,4,20,Thursday,10.5,1.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,2,402,1,1,4,4,20,Thursday,11.5,1.0,EB1010,,,winter
ACFN,ACCT3220,Financial Accounting Practices,3,3,1,1,4,4,20,Tuesday,8.5,2.0,E151,Simon,Magennis,winter
ACFN,ACCT3220,Financial Accounting Practices,3,3,2,1,4,4,20,Thursday,8.5,1.0,E151,Simon,Magennis,winter
ACFN,ACCT3220,Financial Accounting Practices,3,403,1,1,4,4,20,Thursday,9.5,1.0,E151,Simon,Magennis,winter
ACFN,ACCT3221,Intermediate Accounting I,1,1,1,1,4,4,20,Monday,14.5,2.0,EB2128,Yousef,Derjal,winter
ACFN,ACCT3221,Intermediate Accounting I,1,1,2,1,4,4,20,Wednesday,14.5,1.0,EB2128,Yousef,Derjal,winter
